engine,level,page,cer,wer
unlimited_ocr,clean,attention_p000,0.0431,0.0787
unlimited_ocr,clean,attention_p001,0.0355,0.1109
unlimited_ocr,clean,attention_p002,1.0,1.0
unlimited_ocr,clean,attention_p003,1.0,1.0
unlimited_ocr,clean,attention_p004,1.0,1.0
unlimited_ocr,clean,attention_p005,1.0,1.0
unlimited_ocr,clean,attention_p006,0.0765,0.2
unlimited_ocr,clean,attention_p007,1.0,1.0
unlimited_ocr,clean,attention_p008,0.8136,0.2637
unlimited_ocr,clean,attention_p009,1.0,1.0
unlimited_ocr,clean,attention_p010,1.0,1.0
unlimited_ocr,clean,attention_p011,0.009,0.0179
unlimited_ocr,clean,attention_p012,1.0,1.0
unlimited_ocr,clean,attention_p013,1.0,1.0
unlimited_ocr,clean,attention_p014,1.0,1.0
unlimited_ocr,clean,bert_p000,0.0374,0.1248
unlimited_ocr,clean,bert_p001,0.0161,0.1048
unlimited_ocr,clean,bert_p002,0.1599,0.3041
unlimited_ocr,clean,bert_p003,0.1112,0.1988
unlimited_ocr,clean,bert_p004,0.1172,0.2452
unlimited_ocr,clean,bert_p005,0.3204,0.3603
unlimited_ocr,clean,bert_p006,0.551,0.4366
unlimited_ocr,clean,bert_p007,0.1405,0.1611
unlimited_ocr,clean,bert_p008,1.0,1.0
unlimited_ocr,clean,bert_p009,0.0273,0.1168
unlimited_ocr,clean,bert_p010,1.0,1.0
unlimited_ocr,clean,bert_p011,0.0128,0.0847
unlimited_ocr,clean,bert_p012,1.0,1.0
unlimited_ocr,clean,bert_p013,1.0,1.0
unlimited_ocr,clean,bert_p014,0.1989,0.3756
unlimited_ocr,clean,bert_p015,0.2802,0.2548
unlimited_ocr,clean,resnet_p000,0.1022,0.1401
unlimited_ocr,clean,resnet_p001,0.062,0.1278
unlimited_ocr,clean,resnet_p002,1.0,1.0
unlimited_ocr,clean,resnet_p003,1.0,1.0
unlimited_ocr,clean,resnet_p004,0.6113,0.4435
unlimited_ocr,clean,resnet_p005,1.0,1.0
unlimited_ocr,clean,resnet_p006,1.0,1.0
unlimited_ocr,clean,resnet_p007,1.0,1.0
unlimited_ocr,clean,resnet_p008,0.0078,0.0405
unlimited_ocr,clean,resnet_p009,0.0202,0.0876
unlimited_ocr,clean,resnet_p010,0.5831,0.3841
unlimited_ocr,clean,resnet_p011,0.1676,0.185
unlimited_ocr,light,attention_p000,0.0431,0.0787
unlimited_ocr,light,attention_p001,0.0291,0.0675
unlimited_ocr,light,attention_p002,0.0772,0.0959
unlimited_ocr,light,attention_p003,0.1332,0.2281
unlimited_ocr,light,attention_p004,0.2021,0.3141
unlimited_ocr,light,attention_p005,0.2134,0.2687
unlimited_ocr,light,attention_p006,0.2232,0.3308
unlimited_ocr,light,attention_p007,0.3069,0.2127
unlimited_ocr,light,attention_p008,0.8614,0.2637
unlimited_ocr,light,attention_p009,0.1646,0.1512
unlimited_ocr,light,attention_p010,0.0022,0.0186
unlimited_ocr,light,attention_p011,0.0009,0.0067
unlimited_ocr,light,attention_p012,1.0,1.0
unlimited_ocr,light,attention_p013,1.0,1.0
unlimited_ocr,light,attention_p014,1.0,1.0
unlimited_ocr,light,bert_p000,0.0377,0.1248
unlimited_ocr,light,bert_p001,0.0159,0.1048
unlimited_ocr,light,bert_p002,0.1599,0.3041
unlimited_ocr,light,bert_p003,0.1126,0.2012
unlimited_ocr,light,bert_p004,0.1172,0.2452
unlimited_ocr,light,bert_p005,0.3243,0.3589
unlimited_ocr,light,bert_p006,0.5079,0.3924
unlimited_ocr,light,bert_p007,0.1521,0.1651
unlimited_ocr,light,bert_p008,0.2673,0.2538
unlimited_ocr,light,bert_p009,0.0603,0.1616
unlimited_ocr,light,bert_p010,0.0138,0.0938
unlimited_ocr,light,bert_p011,0.0126,0.0831
unlimited_ocr,light,bert_p012,0.11,0.2581
unlimited_ocr,light,bert_p013,0.0243,0.0954
unlimited_ocr,light,bert_p014,0.1972,0.3756
unlimited_ocr,light,bert_p015,0.2456,0.2146
unlimited_ocr,light,resnet_p000,0.1008,0.137
unlimited_ocr,light,resnet_p001,0.0525,0.1006
unlimited_ocr,light,resnet_p002,0.1397,0.2052
unlimited_ocr,light,resnet_p003,0.3331,0.4121
unlimited_ocr,light,resnet_p004,1.0,1.0
unlimited_ocr,light,resnet_p005,0.2844,0.2582
unlimited_ocr,light,resnet_p006,0.1977,0.1739
unlimited_ocr,light,resnet_p007,0.1931,0.226
unlimited_ocr,light,resnet_p008,0.0076,0.0405
unlimited_ocr,light,resnet_p009,0.0194,0.0887
unlimited_ocr,light,resnet_p010,0.5797,0.3841
unlimited_ocr,light,resnet_p011,0.1564,0.1558
unlimited_ocr,medium,attention_p000,0.055,0.0939
unlimited_ocr,medium,attention_p001,0.0259,0.0547
unlimited_ocr,medium,attention_p002,0.0772,0.0959
unlimited_ocr,medium,attention_p003,0.1376,0.2281
unlimited_ocr,medium,attention_p004,0.3174,0.4123
unlimited_ocr,medium,attention_p005,0.273,0.3364
unlimited_ocr,medium,attention_p006,0.2232,0.3308
unlimited_ocr,medium,attention_p007,0.3636,0.2687
unlimited_ocr,medium,attention_p008,0.8415,0.2738
unlimited_ocr,medium,attention_p009,0.1646,0.1512
unlimited_ocr,medium,attention_p010,0.0022,0.0186
unlimited_ocr,medium,attention_p011,0.0009,0.0067
unlimited_ocr,medium,attention_p012,1.0,1.0
unlimited_ocr,medium,attention_p013,1.0,1.0
unlimited_ocr,medium,attention_p014,1.0,1.0
unlimited_ocr,medium,bert_p000,0.0392,0.1248
unlimited_ocr,medium,bert_p001,0.0161,0.1048
unlimited_ocr,medium,bert_p002,0.1599,0.3041
unlimited_ocr,medium,bert_p003,0.1126,0.2012
unlimited_ocr,medium,bert_p004,0.1172,0.2452
unlimited_ocr,medium,bert_p005,0.3288,0.3589
unlimited_ocr,medium,bert_p006,0.5158,0.4031
unlimited_ocr,medium,bert_p007,0.113,0.1436
unlimited_ocr,medium,bert_p008,0.277,0.2613
unlimited_ocr,medium,bert_p009,0.0319,0.128
unlimited_ocr,medium,bert_p010,0.0302,0.115
unlimited_ocr,medium,bert_p011,0.0121,0.0797
unlimited_ocr,medium,bert_p012,0.0941,0.1919
unlimited_ocr,medium,bert_p013,0.0376,0.1108
unlimited_ocr,medium,bert_p014,1.0,1.0
unlimited_ocr,medium,bert_p015,0.2536,0.2165
unlimited_ocr,medium,resnet_p000,1.0,1.0
unlimited_ocr,medium,resnet_p001,0.0525,0.1006
unlimited_ocr,medium,resnet_p002,0.144,0.1917
unlimited_ocr,medium,resnet_p003,0.3331,0.4121
unlimited_ocr,medium,resnet_p004,0.637,0.6172
unlimited_ocr,medium,resnet_p005,0.4005,0.3197
unlimited_ocr,medium,resnet_p006,0.1975,0.1739
unlimited_ocr,medium,resnet_p007,0.2251,0.2562
unlimited_ocr,medium,resnet_p008,0.0078,0.0415
unlimited_ocr,medium,resnet_p009,0.0205,0.0929
unlimited_ocr,medium,resnet_p010,0.5541,0.3814
unlimited_ocr,medium,resnet_p011,1.0,1.0
unlimited_ocr,heavy,attention_p000,0.1023,0.1574
unlimited_ocr,heavy,attention_p001,0.0559,0.0788
unlimited_ocr,heavy,attention_p002,0.0772,0.0959
unlimited_ocr,heavy,attention_p003,0.3215,0.3985
unlimited_ocr,heavy,attention_p004,0.1551,0.2736
unlimited_ocr,heavy,attention_p005,0.2416,0.3181
unlimited_ocr,heavy,attention_p006,0.1172,0.1981
unlimited_ocr,heavy,attention_p007,0.3461,0.2519
unlimited_ocr,heavy,attention_p008,0.9872,0.3428
unlimited_ocr,heavy,attention_p009,0.2067,0.1987
unlimited_ocr,heavy,attention_p010,0.0022,0.0186
unlimited_ocr,heavy,attention_p011,0.0009,0.0067
unlimited_ocr,heavy,attention_p012,1.0,1.0
unlimited_ocr,heavy,attention_p013,1.0,1.0
unlimited_ocr,heavy,attention_p014,1.0,1.0
unlimited_ocr,heavy,bert_p000,0.0392,0.1248
unlimited_ocr,heavy,bert_p001,1.0,1.0
unlimited_ocr,heavy,bert_p002,0.1531,0.3007
unlimited_ocr,heavy,bert_p003,0.1075,0.1951
unlimited_ocr,heavy,bert_p004,0.1141,0.2323
unlimited_ocr,heavy,bert_p005,0.3292,0.3616
unlimited_ocr,heavy,bert_p006,0.5058,0.3924
unlimited_ocr,heavy,bert_p007,0.113,0.1409
unlimited_ocr,heavy,bert_p008,0.2994,0.2883
unlimited_ocr,heavy,bert_p009,0.4013,0.544
unlimited_ocr,heavy,bert_p010,0.0304,0.1165
unlimited_ocr,heavy,bert_p011,0.1243,0.191
unlimited_ocr,heavy,bert_p012,0.0849,0.1968
unlimited_ocr,heavy,bert_p013,0.0376,0.1108
unlimited_ocr,heavy,bert_p014,1.0,1.0
unlimited_ocr,heavy,bert_p015,0.2584,0.2069
unlimited_ocr,heavy,resnet_p000,0.0844,0.1386
unlimited_ocr,heavy,resnet_p001,0.0607,0.1172
unlimited_ocr,heavy,resnet_p002,0.1662,0.2176
unlimited_ocr,heavy,resnet_p003,0.3182,0.4109
unlimited_ocr,heavy,resnet_p004,0.3967,0.4266
unlimited_ocr,heavy,resnet_p005,0.3678,0.2869
unlimited_ocr,heavy,resnet_p006,0.3049,0.2719
unlimited_ocr,heavy,resnet_p007,0.1833,0.2219
unlimited_ocr,heavy,resnet_p008,0.0095,0.0426
unlimited_ocr,heavy,resnet_p009,0.0455,0.1207
unlimited_ocr,heavy,resnet_p010,0.6699,0.403
unlimited_ocr,heavy,resnet_p011,0.2609,0.2152
